Week,Day,Focus,Main Workout,Accessory,Notes
9,Monday,Heavy Lower + 'Push',"Back Squat: 4x6 @ RPE 8
Leg Press: 4 x 25 reps (Heavy, No lockout)",Cossack Squats: 2x10 (Warmup),Leg Press replaces Sled Push. Keep constant tension.
9,Tuesday,Threshold Intervals,"Run: 10m Warmup
Intervals: 4 x 6 mins @ Threshold Effort (Rest 2m jog)
Cooldown: 10m",Core: 3 rounds Plank/Hollow Rocks,Uncomfortable pace.
9,Wednesday,Upper + Z2,"Strict Press: 3x8
Pull-Ups: 3xMax
Bench Press: 3x8",45 mins Zone 2 (Bike or Row),Recovery flow.
9,Thursday,F45 + Buy Out,F45 Class (Cardio Focus preferred),75 Wall Balls for time,Immediately after class.
9,Friday,Unilateral + Skill,"Bulgarian Split Squats: 3x8/leg (Safe Mode)
Single Arm KB Press: 3x10",Burpee Broad Jumps: 10 min EMOM,Watch knee tracking.
9,Saturday,Compromised Run,"Sandwich Run:
20 mins Run
100 Walking Lunges (Bodyweight)
20 mins Run",Mobility: Hips/Glutes,Focus on run form after lunges.
9,Sunday,Rest,Full Rest,Walk 30 mins,Meal Prep.
10,Monday,Heavy Lower + 'Push',"Back Squat: 4x6 @ RPE 8.5
Leg Press: 5 x 25 reps (Heavy)",Cossack Squats,Volume up on Leg Press.
10,Tuesday,Threshold Intervals,"Run: 10m Warmup
Intervals: 5 x 5 mins @ Threshold (Rest 2m jog)
Cooldown: 10m",Core,Total threshold time: 25 mins.
10,Wednesday,Upper + Z2,"Strict Press: 3x8
Pull-Ups: 3xMax
Bent Over Rows: 3x10",45 mins Zone 2 (Bike or Row),-
10,Thursday,F45 + Buy Out,F45 Class,100 Wall Balls for time,Volume up.
10,Friday,Unilateral + Skill,"Bulgarian Split Squats: 3x8/leg
DB Incline Press: 3x10",Burpee Broad Jumps: 12 min EMOM,Consistency.
10,Saturday,Compromised Run,"Sandwich Run:
25 mins Run
100 Lunges
25 mins Run",Mobility,Endurance build.
10,Sunday,Rest,Full Rest,-,Recover.
11,Monday,Heavy Lower + 'Pull',"Back Squat: 5x5 @ RPE 9
Cable Rope Squat-Rows: 4 x 15 (Heavy)",Leg Press: 2 x 25 reps (Finisher),Cable Rows replace Sled Pull.
11,Tuesday,Threshold Intervals,"Run: 10m Warmup
Intervals: 3 x 10 mins @ Threshold (Rest 3m jog)
Cooldown: 10m",Core,Long intervals.
11,Wednesday,Upper + Z2,"Strict Press: 5x5 (Heavy)
Weighted Pull-Ups: 3x5",50 mins Zone 2,Heavy upper body.
11,Thursday,F45 + Buy Out,F45 Class,Run 1km (Fast),Sprint finish.
11,Friday,Unilateral + Skill,"Reverse Lunges: 3x10/leg
Z-Press: 3x10",Burpee Broad Jumps: 10 mins Continuous,New lunge variation.
11,Saturday,Compromised Run,"Sandwich Run:
30 mins Run
80 Lunges (Weighted)
15 mins Run (Fast)",Mobility,Hard finish.
11,Sunday,Rest,Full Rest,-,Recover.
12,Monday,Technique + Light Legs,"Back Squat: 3x5 @ 60% (Light)
Leg Press: 3 x 15 (Light/Fast)",Mobility Flow,Active Recovery.
12,Tuesday,Aerobic Maintenance,Run: 30-40 mins Easy (Zone 2),Core,No threshold burn.
12,Wednesday,Upper Pump,"Bodyweight Circuit: Pushups, Pullups, Dips",30 mins Bike,Just blood flow.
12,Thursday,F45 + Mobility,F45 Class (Go lighter),20 mins Stretching,No buy-out.
12,Friday,Skill Day,Practice Wall Ball Rhythm,Row: 20 mins Easy,Mental break.
12,Saturday,Long Easy Run,50 mins Run (Conversational),-,Pure endurance.
12,Sunday,Rest,Full Rest,-,Prep for next block.
13,Monday,Heavy Lower + 'Push',"Back Squat: 4x6 @ RPE 8
Leg Press: 6 x 20 reps (Add weight)",Farmers Carry: 3 x 40m (Heavy),Re-intro heavy carries.
13,Tuesday,Threshold Intervals,"Run: 10m Warmup
Intervals: 4 x 8 mins @ Threshold (Rest 2m)",Core,Back to 8-min intervals.
13,Wednesday,Upper + Z2,"Push Press: 3x8
Chest Supported Row: 3x10",45 mins Zone 2,Explosive overhead.
13,Thursday,F45 + Buy Out,F45 Class,75 Wall Balls + 15 Burpees,Compound fatigue.
13,Friday,Unilateral + Skill,"Bulgarian Split Squats: 3x8
Single Arm Row: 3x10",EMOM 15: 5 Burpee Broad Jumps,High volume.
13,Saturday,Compromised Run,"Sandwich Run:
30 mins Run
40m Farmers Carry + 60 Lunges
30 mins Run",Mobility,Grip compromised.
13,Sunday,Rest,Full Rest,-,-
14,Monday,Heavy Lower + 'Pull',"Back Squat: 5x5 @ RPE 8.5
Cable Rope Squat-Rows: 5 x 15 (Heavy)",Leg Press: 2 x 25 reps,Focus on Pulls.
14,Tuesday,Threshold Intervals,"Run: 10m Warmup
Intervals: 6 x 5 mins @ Threshold (Rest 90s)",Core,Short rest.
14,Wednesday,Upper + Z2,"Strict Press: 3x6
Pull-Ups: 4xMax",50 mins Zone 2,-
14,Thursday,F45 + Buy Out,F45 Class,1000m Row/Ski (Fast),Erg fatigue.
14,Friday,Unilateral + Skill,"Step Ups: 3x10/leg (Weighted)
Dips: 3x10",Burpee Broad Jumps: 15 mins Practice,Step ups safer for knee.
14,Saturday,Compromised Run,"The Gym Sim:
1k Run, 30 Leg Press, 1k Run, 30 Cable Rows, 1k Run",Mobility,Gym-based simulation.
14,Sunday,Rest,Full Rest,-,-
